hour,heating,cooling
0,0.997244632,0.891535713
1,1.012675902,0.798235095
2,1.015879447,0.722202491
3,1.010765676,0.657787709
4,1.011188438,0.615076019
5,1.031789189,0.582014616
6,1.074739407,0.564530139
7,1.101617499,0.593167757
8,1.105359242,0.680261835
9,1.083165599,0.772875711
10,1.043839148,0.858327123
11,1.005706506,0.976353468
12,0.967625742,1.1146086
13,0.927169478,1.243364558
14,0.898209898,1.353110899
15,0.895691219,1.437291256
16,0.938954533,1.481545646
17,1.018606413,1.469218901
18,1.033534142,1.420482088
19,0.980349542,1.348767925
20,0.943274961,1.268066451
21,0.957762077,1.178519869
22,0.975039406,1.089695339
23,0.972567273,0.99142508
